0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Study,Treatment,Virus,VirusID,AssayID,Lab,Poscrit,PGT151_4A/293i,N/A,y,CH235.12,CAP248-2B,ACS202,VRC34.01,1-18,VRC01.23LS,,,,
H703,y,H703_0013_090Es,>10,N/A,y,50%,N/A,N/A,N/A,N/A,>10,>10,>10,>10,0.52,0.49,>10,>10,>10
H703,y,H703_0203_081_RE_e8A5s,>10,N/A,y,50%,N/A,N/A,N/A,N/A,7.6,>10,>10,>10,0.38,1.23,>10,>10,>10
H703,y,H703_0217_050e_2A3,0.01,N/A,y,50%,N/A,N/A,N/A,N/A,0.29,0.0247,2.21,0.0253,0.008,0.04,0.04,1.16,>10
H703,y,H703_0279_110s,>10,N/A,y,50%,N/A,N/A,N/A,N/A,5.34,>10,>10,>10,0.08,0.17,>10,>10,>10
H703,y,H703_0472_030s,0.028,N/A,y,50%,N/A,N/A,N/A,N/A,0.05,>10,>10,5.67,0.0054,<0.005,0.13,0.18,>10
H703,y,H703_0537_011s_2B5,>10,N/A,y,50%,N/A,N/A,N/A,N/A,0.04,>10,>10,>10,0.007,<0.005,>10,0.13,>10
H703,y,H703_0537_011s_4H1,>10,N/A,y,50%,N/A,N/A,N/A,N/A,1.14,>10,>10,>10,0.01,<0.005,>10,2.63,>10
H703,y,H703_0566_160s,0.007,N/A,y,50%,N/A,N/A,N/A,N/A,0.48,>10,>10,0.08,0.04,0.11,>10,1.33,>10
H703,y,H703_0629_150_RE_e5A2s,0.0032,N/A,y,50%,N/A,N/A,N/A,N/A,0.2,>10,>10,0.16,0.09,0.03,0.02,0.73,>10
H703,y,H703_0646_051sN,0.07,N/A,y,50%,N/A,N/A,N/A,N/A,>10,>10,>10,0.07,0.18,0.63,>10,>10,>10
H703,y,H703_0739_110s,>10,N/A,y,50%,N/A,N/A,N/A,N/A,0.56,>10,0.09,4.86,0.025,0.02,>10,1.11,>10
H703,y,H703_0842_200Es,0.21,N/A,y,50%,N/A,N/A,N/A,N/A,6.36,>10,>10,>10,>10,1.82,>10,>10,>10
H703,y,H703_0865_070s,>10,N/A,y,50%,N/A,N/A,N/A,N/A,1.2,>10,>10,>10,0.09,0.09,>10,4.15,>10
H703,y,H703_0926_070s_2H2,>10,N/A,y,50%,N/A,N/A,N/A,N/A,2.34,>10,>10,>10,2.02,0.76,>10,9.8,>10
H703,y,H703_1060_080s,0.05,N/A,y,50%,N/A,N/A,N/A,N/A,1.17,>10,>10,>10,0.09,0.28,>10,4.39,>10
H703,y,H703_1104_100_Re10A5s,>10,N/A,y,50%,N/A,N/A,N/A,N/A,>10,>10,0.15,>10,0.33,1.69,>10,>10,>10
H703,y,H703_1104_100_Re10GS,>10,N/A,y,50%,N/A,N/A,N/A,N/A,>10,>10,0.19,>10,0.18,0.92,>10,>10,>10
H703,y,H703_1313_040s,>10,N/A,y,50%,N/A,N/A,N/A,N/A,>10,>10,>10,>10,0.046,0.07,>10,>10,>10
H703,y,H703_1471_190s,0.01,N/A,y,50%,N/A,N/A,N/A,N/A,0.6,0.011,>10,>10,0.05,0.02,0.02,1.89,>10
H703,y,H703_1675_080s,>10,N/A,y,50%,N/A,N/A,N/A,N/A,0.23,>10,1.49,>10,0.0279,0.05,>10,0.7,>10
H703,y,H703_1675_G613s,0.59,N/A,y,50%,N/A,N/A,N/A,N/A,0.15,>10,4.47,>10,0.02,0.04,4.81,0.55,>10
H703,y,H703_1750_140Es,0.05,N/A,y,50%,N/A,N/A,N/A,N/A,1.35,>10,>10,0.34,0.11,0.13,0.3,3.32,>10
H703,y,H703_1764_250_RE_cs,0.18,N/A,y,50%,N/A,N/A,N/A,N/A,0.1,>10,>10,>10,0.03,0.06,>10,0.57,>10
H703,y,H703_1789_230_RE_e3A3s,>10,N/A,y,50%,N/A,N/A,N/A,N/A,>10,>10,>10,>10,0.09,0.55,>10,>10,>10
H703,y,H703_1848_190_RE_e6D1s,0.02,N/A,y,50%,N/A,N/A,N/A,N/A,0.24,>10,>10,>10,0.09,0.20,0.14,0.92,>10
H703,y,H703_1889_100Es,>10,N/A,y,50%,N/A,N/A,N/A,N/A,5.78,>10,>10,>10,0.09,0.19,>10,9.48,>10
H703,y,H703_2018_240_RE_e6A1s,>10,N/A,y,50%,N/A,N/A,N/A,N/A,6.38,>10,>10,>10,0.16,0.09,>10,>10,>10
H703,y,H703_2117_110_RE_e2A10s,>10,N/A,y,50%,N/A,N/A,N/A,N/A,0.52,>10,>10,0.81,0.17,0.06,>10,1.33,>10
H703,y,H703_2149_060_RE_eB10s,9.17,N/A,y,50%,N/A,N/A,N/A,N/A,>10,>10,>10,>10,0.0324,0.02,>10,>10,>10
H703,y,H703_2304_150_RE_cs,>10,N/A,y,50%,N/A,N/A,N/A,N/A,0.08,>10,>10,0.03,0.06,0.01,>10,0.22,>10
H703,y,H703_2539_070_RE_e6F6s,4.57,N/A,y,50%,N/A,N/A,N/A,N/A,>10,>10,>10,>10,0.74,0.27,>10,>10,>10
H703,y,H703_2631_150_RE_e2F8s,>10,N/A,y,50%,N/A,N/A,N/A,N/A,1.02,>10,>10,0.97,0.02,0.09,>10,2.8,>10
H703,y,H703_2788_030Es_B1,1.84,N/A,y,50%,N/A,N/A,N/A,N/A,4.9,>10,>10,>10,1.56,4.11,>10,7.8,>10
H703,y,H703_2805_080Es,0.06,N/A,y,50%,N/A,N/A,N/A,N/A,0.24,>10,>10,0.23,0.027,0.03,0.5,0.85,>10
V703,y,V703_0203_081_RE_pblib002_s,>10,N/A,y,50%,N/A,N/A,N/A,N/A,>10,>10,>10,>10,0.64,0.91,>10,>10,>10
V703,y,V703_0217_050_RE_pblib002_s,0.0029,N/A,y,50%,N/A,N/A,N/A,N/A,0.15,0.01,0.06,0.02,0.0018,0.06,0.0162,0.79,0.04
V703,y,V703_0279_110_RE_pblib002_s,>10,N/A,y,50%,N/A,N/A,N/A,N/A,>10,>10,>10,>10,0.17,0.14,>10,>10,>10
V703,y,V703_0537_110_RE_pblib003_s,>10,N/A,y,50%,N/A,N/A,N/A,N/A,0.19,>10,>10,>10,0.0138,<0.005,>10,0.56,>10
V703,y,V703_0566_160_RE_pblib002_s,0.2,N/A,y,50%,N/A,N/A,N/A,N/A,1.28,>10,>10,0.08,0.06,0.17,>10,3.6,>10
V703,y,V703_0629_150_RE_pblib002_s,0.01,N/A,y,50%,N/A,N/A,N/A,N/A,0.34,>10,>10,0.1,0.08,0.07,0.04,2.3,>10
V703,y,V703_0629_150_RE_pblib003_s,0.06,N/A,y,50%,N/A,N/A,N/A,N/A,1.5,>10,>10,>10,0.11,0.06,0.19,4.66,>10
V703,y,V703_0629_150_RE_pblib004_s,0.01,N/A,y,50%,N/A,N/A,N/A,N/A,0.41,>10,>10,1.1,0.12,0.08,0.04,1.51,>10
V703,y,V703_1104_100_RE_pblib001_s,>10,N/A,y,50%,N/A,N/A,N/A,N/A,>10,>10,4.23,>10,0.28,1.41,>10,>10,>10
V703,y,V703_1298_080_RE_pblib002_s,0.1,N/A,y,50%,N/A,N/A,N/A,N/A,0.16,>10,>10,>10,0.15,0.13,9.49,0.59,>10
V703,y,V703_1848_190_RE_pblib002_s,0.06,N/A,y,50%,N/A,N/A,N/A,N/A,0.92,>10,>10,>10,0.0517,0.07,>10,3.7,>10
V703,y,V703_1915_250_RE_sgaA3_s,0.04,N/A,y,50%,N/A,N/A,N/A,N/A,5.6,>10,>10,>10,0.0841,0.04,5.62,>10,>10
V703,y,V703_2805_080_RE_pblib002_s,>10,N/A,y,50%,N/A,N/A,N/A,N/A,>10,>10,>10,0.84,>10,>10,>10,>10,>10
H703,y,H703_0013_090Es,>10,N/A,y,%80,N/A,N/A,N/A,N/A,>10,>10,1.93,1.07,,,,,
H703,y,H703_0203_081_RE_e8A5s,>10,N/A,y,%80,N/A,N/A,N/A,N/A,>10,>10,1.91,5.69,,,,,
H703,y,H703_0217_050e_2A3,0.01,N/A,y,%80,N/A,N/A,N/A,N/A,>10,0.09,0.08,0.22,,,,,
H703,y,H703_0279_110s,>10,N/A,y,%80,N/A,N/A,N/A,N/A,>10,>10,0.36,0.51,,,,,
H703,y,H703_0472_030s,0.028,N/A,y,%80,N/A,N/A,N/A,N/A,>10,>10,0.0115,<0.005,,,,,
H703,y,H703_0537_011s_2B5,>10,N/A,y,%80,N/A,N/A,N/A,N/A,>10,>10,0.02,0.01,,,,,
H703,y,H703_0537_011s_4H1,>10,N/A,y,%80,N/A,N/A,N/A,N/A,>10,>10,0.06,0.01,,,,,
H703,y,H703_0566_160s,0.007,N/A,y,%80,N/A,N/A,N/A,N/A,>10,0.3,0.2,0.65,,,,,
