,,,IC50 (ug/ml) in TZM-bl cells,IC80 (ug/ml) in TZM-bl cells
Virus Name,Virus ID,Assay ID,VRC01.23LS,VRC01.23LS
H704_0726_080sN,AMP12,LD30-34; SM02-13; TP02-131,0.466,1.177
H704_1535_030sN,AMP14,LD30-35; SM02-14; TP02-132,0.018,0.054
H704_0911_150sN,AMP16,LD30-36; SM02-15; TP02-133,1.525,3.313
H704_0907_130sN,AMP18,SM02-16; TP02-134,0.019,0.053
H704_1429_090_eN1A,AMP28,LH19-04; SM02-17; TP02-135,0.078,0.212
H704_1429_090_eN2G,AMP30,LH19-05; SM02-18; TP02-136,0.122,0.318
H704_0496_040sN,AMP41,LH19-07; SM02-19; TP02-137,0.601,2.091
H704_2788_060eN_12,AMP46,LH19-09; SM02-20; TP02-138,0.284,0.735
H704_2767_070sN,AMP58,OW01-39; SM02-21; TP02-139,0.068,0.184
H704_2788_060eN_04,AMP68,LH19-143; SM02-22; TP02-140,0.277,0.714
H704_1706_050sN,AMP72; AMP285,LH19-144; SM02-23; TP02-141,0.058,0.161
H704_0644_060sN_prelimSeq,AMP105,OW01-53; SM02-24; TP02-142; TP02-204,0.279,0.816
H704_0847_030_EsN_02C,AMP88,OW01-55; SM02-25; TP02-143; TP02-205,0.161,0.397
H704_1775_030cN_SynGtoA_567,AMP93,LH19-145; SM02-26; TP02-144,0.031,0.073
H704_2544_140eN02,AMP95,OW01-58; SM02-27; TP02-145,0.494,1.339
H704_0847_030_EsN_01T,AMP102,OW01-59; SM02-28; TP02-146,0.053,0.269
H704_0855_080_EsN,AMP98,OW01-60; SM02-29; TP02-147,0.002,0.01
H704_0575_060_EsN1A,AMP114,OW01-64; SM02-30; TP02-148,0.652,2.289
H704_0575_060_EsN2T,AMP116,OW01-65; SM02-31; TP02-149,0.771,2.44
H704_2544_140eN01,AMP118,OW01-66; SM02-32; TP02-150,0.136,0.346
H704_3008_040EsN,AMP124,LH19-24; TP02-151,0.025,0.092
