0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Study,Treatment,Virus,VirusID,AssayID,Lab,Poscrit,VRC01.23LS 0.5mg/ml,VRC01.23LS 0.1mg/ml,PGT151,VRC34.01 ,CAP248-2B,ACS202,VRC01,CH01-31,PGT151_4A/293i,CH235.12,VRC34.01,1-18,VRC01.23LS
H703,b,H703_0013_090Es,N/A,N/A,b,50%,N/A,N/A,N/A,N/A,>10,>10,N/A,N/A,>10,>10,>10,0.52,0.49
H703,b,H703_0203_081_RE_e8A5s,N/A,N/A,b,50%,N/A,N/A,N/A,N/A,>10,7.6,N/A,N/A,>10,>10,>10,0.38,1.23
H703,b,H703_0217_050e_2A3,N/A,N/A,b,50%,N/A,N/A,N/A,N/A,0.01,0.29,N/A,N/A,0.0247,2.21,0.0253,0.008,0.04
H703,b,H703_0279_110s,N/A,N/A,b,50%,N/A,N/A,N/A,N/A,>10,5.34,N/A,N/A,>10,>10,>10,0.08,0.17
H703,b,H703_0472_030s,N/A,N/A,b,50%,N/A,N/A,N/A,N/A,0.028,0.05,N/A,N/A,>10,>10,5.67,0.0054,<0.005
H703,b,H703_0537_011s_2B5,N/A,N/A,b,50%,N/A,N/A,N/A,N/A,>10,0.04,N/A,N/A,>10,>10,>10,0.007,<0.005
H703,b,H703_0537_011s_4H1,N/A,N/A,b,50%,N/A,N/A,N/A,N/A,>10,1.14,N/A,N/A,>10,>10,>10,0.01,<0.005
H703,b,H703_0566_160s,N/A,N/A,b,50%,N/A,N/A,N/A,N/A,0.007,0.48,N/A,N/A,>10,>10,0.08,0.04,0.11
H703,b,H703_0629_150_RE_e5A2s,N/A,N/A,b,50%,N/A,N/A,N/A,N/A,0.0032,0.2,N/A,N/A,>10,>10,0.16,0.09,0.03
H703,b,H703_0646_051sN,N/A,N/A,b,50%,N/A,N/A,N/A,N/A,0.07,>10,N/A,N/A,>10,>10,0.07,0.18,0.63
H703,b,H703_0739_110s,N/A,N/A,b,50%,N/A,N/A,N/A,N/A,>10,0.56,N/A,N/A,>10,0.09,4.86,0.025,0.02
H703,b,H703_0842_200Es,N/A,N/A,b,50%,N/A,N/A,N/A,N/A,0.21,6.36,N/A,N/A,>10,>10,>10,>10,1.82
H703,b,H703_0865_070s,N/A,N/A,b,50%,N/A,N/A,N/A,N/A,>10,1.2,N/A,N/A,>10,>10,>10,0.09,0.09
H703,b,H703_0926_070s_2H2,N/A,N/A,b,50%,N/A,N/A,N/A,N/A,>10,2.34,N/A,N/A,>10,>10,>10,2.02,0.76
H703,b,H703_1060_080s,N/A,N/A,b,50%,N/A,N/A,N/A,N/A,0.05,1.17,N/A,N/A,>10,>10,>10,0.09,0.28
H703,b,H703_1104_100_Re10A5s,N/A,N/A,b,50%,N/A,N/A,N/A,N/A,>10,>10,N/A,N/A,>10,0.15,>10,0.33,1.69
H703,b,H703_1104_100_Re10GS,N/A,N/A,b,50%,N/A,N/A,N/A,N/A,>10,>10,N/A,N/A,>10,0.19,>10,0.18,0.92
H703,b,H703_1313_040s,N/A,N/A,b,50%,N/A,N/A,N/A,N/A,>10,>10,N/A,N/A,>10,>10,>10,0.046,0.07
H703,b,H703_1471_190s,N/A,N/A,b,50%,N/A,N/A,N/A,N/A,0.01,0.6,N/A,N/A,0.011,>10,>10,0.05,0.02
H703,b,H703_1675_080s,N/A,N/A,b,50%,N/A,N/A,N/A,N/A,>10,0.23,N/A,N/A,>10,1.49,>10,0.0279,0.05
H703,b,H703_1675_G613s,N/A,N/A,b,50%,N/A,N/A,N/A,N/A,0.59,0.15,N/A,N/A,>10,4.47,>10,0.02,0.04
H703,b,H703_1750_140Es,N/A,N/A,b,50%,N/A,N/A,N/A,N/A,0.05,1.35,N/A,N/A,>10,>10,0.34,0.11,0.13
H703,b,H703_1764_250_RE_cs,N/A,N/A,b,50%,N/A,N/A,N/A,N/A,0.18,0.1,N/A,N/A,>10,>10,>10,0.03,0.06
H703,b,H703_1789_230_RE_e3A3s,N/A,N/A,b,50%,N/A,N/A,N/A,N/A,>10,>10,N/A,N/A,>10,>10,>10,0.09,0.55
H703,b,H703_1848_190_RE_e6D1s,N/A,N/A,b,50%,N/A,N/A,N/A,N/A,0.02,0.24,N/A,N/A,>10,>10,>10,0.09,0.20
H703,b,H703_1889_100Es,N/A,N/A,b,50%,N/A,N/A,N/A,N/A,>10,5.78,N/A,N/A,>10,>10,>10,0.09,0.19
